Location,Crop,Year,Site_crop_yr,Rep,Soil,EU,Cover Crop,PRE,Yield,Stand Count,Weeds,Weed_Control,Weed_Count,Weed_Biomass,AMBEL,CHEAL,AMATU,POA,AMBTR,TAROF,VERPG,CABPA,GASCI,Nightshade,POLPE,AMARE
Arlington,Corn,2019,ARL_CN_19,1,CT,101,N,N,11412.77172,61242.2482,Y,85,32.29174515,3.767370268,32.29174515,0,0,0,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,1,CT,102,N,Y,9434.6124,61242.2482,Y,97,113.021108,0.005381958,102.257193,10.76391505,0,0,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,1,NT,103,N,N,11890.43562,61242.2482,Y,78,118.4030656,8.611132041,96.87523546,0,0,21.5278301,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,1,NT,104,N,Y,13908.60079,78740.03341,Y,95,75.34740536,0.538195753,75.34740536,0,0,0,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,1,CCET,105,Y,N,13704.58204,78740.03341,Y,79,247.5700462,16.14587258,247.5700462,0,0,0,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,1,CCET,106,Y,Y,13587.89535,69991.14081,Y,98,48.43761773,0.538195753,43.0556602,0,0,5.381957526,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,1,CCPT,107,Y,N,14293.0671,61242.2482,Y,90,53.81957526,0.005381958,48.43761773,5.381957526,0,0,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,1,CCPT,108,Y,Y,14531.34834,74365.58711,Y,95,32.29174515,1.076391505,32.29174515,0,0,0,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,1,CCLT,109,Y,N,11064.57882,78740.03341,Y,98,26.90978763,1.076391505,26.90978763,0,0,0,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,1,CCLT,110,Y,Y,11345.23641,74365.58711,Y,99,48.43761773,1.076391505,48.43761773,0,0,0,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,1,CCFH,111,Y,N,12099.58228,78740.03341,Y,86,96.87523546,5.381957526,96.87523546,0,0,0,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,1,CCFH,112,Y,Y,11609.9426,74365.58711,Y,98,26.90978763,0.538195753,26.90978763,0,0,0,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,2,CCET,201,Y,Y,13504.91966,78740.03341,Y,95,204.514386,4.843761773,204.514386,0,0,0,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,2,CCET,202,Y,N,13101.04892,78740.03341,Y,78,209.8963435,4.843761773,182.9865559,0,0,26.90978763,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,2,CCPT,203,Y,N,13018.24242,74365.58711,Y,92,80.72936288,4.30556602,80.72936288,0,0,0,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,2,CCLT,204,Y,Y,11187.04279,69991.14081,Y,98,59.20153278,1.076391505,59.20153278,0,0,0,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,2,CCPT,205,Y,Y,13227.41991,65616.69451,Y,94,53.81957526,2.15278301,53.81957526,0,0,0,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,2,CCFH,206,Y,N,12008.55709,74365.58711,Y,80,156.0767682,5.381957526,156.0767682,0,0,0,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,2,CCFH,207,Y,Y,13882.26756,74365.58711,Y,96,48.43761773,0.538195753,48.43761773,0,0,0,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,2,CCLT,208,Y,N,11549.5889,78740.03341,Y,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,2,NT,209,N,N,13596.70675,78740.03341,Y,90,37.67370268,4.30556602,37.67370268,0,0,0,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,2,NT,210,N,Y,14205.18934,69991.14081,Y,95,145.3128532,1.076391505,145.3128532,0,0,0,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,2,CT,211,N,Y,13497.8078,69991.14081,Y,97,32.29174515,5.381957526,32.29174515,0,0,0,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,2,CT,212,N,N,13810.62368,69991.14081,Y,83,161.4587258,10.76391505,161.4587258,0,0,0,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,3,CT,301,N,Y,12221.04502,83114.47971,Y,98,64.58349031,1.614587258,64.58349031,0,0,0,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,3,CT,302,N,N,12058.67617,69991.14081,Y,87,107.6391505,5.381957526,102.257193,0,0,5.381957526,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,3,NT,303,N,Y,13912.10778,78740.03341,Y,97,113.021108,1.076391505,113.021108,0,0,0,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,3,NT,304,N,N,14594.32457,74365.58711,Y,94,64.58349031,3.229174515,53.81957526,5.381957526,0,5.381957526,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,3,CCFH,305,Y,Y,12477.42231,74365.58711,Y,94,252.9520037,0.538195753,252.9520037,0,0,0,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,3,CCET,306,Y,N,13371.27264,74365.58711,Y,10,242.1880887,26.90978763,242.1880887,0,0,0,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,3,CCET,307,Y,Y,14581.6894,69991.14081,Y,98,75.34740536,1.614587258,75.34740536,0,0,0,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,3,CCLT,308,Y,Y,10855.37513,74365.58711,Y,99,26.90978763,0.538195753,26.90978763,0,0,0,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,3,CCPT,309,Y,Y,14286.13059,74365.58711,Y,98,26.90978763,0,26.90978763,0,0,0,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,3,CCPT,310,Y,N,13965.82402,69991.14081,Y,97,69.96544783,1.076391505,69.96544783,0,0,0,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,3,CCLT,311,Y,N,11024.34714,69991.14081,Y,99,10.76391505,0.538195753,10.76391505,0,0,0,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,3,CCFH,312,Y,N,12254.62885,69991.14081,Y,95,75.34740536,4.30556602,75.34740536,0,0,0,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,4,CCET,401,Y,Y,14815.3364,74365.58711,Y,98,32.29174515,0.538195753,32.29174515,0,0,0,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,4,CCLT,402,Y,Y,10711.64572,69991.14081,Y,99,10.76391505,0,10.76391505,0,0,0,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,4,CCFH,403,Y,N,13494.44379,74365.58711,Y,84,231.4241736,10.76391505,231.4241736,0,0,0,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,4,CCFH,404,Y,Y,13318.34797,78740.03341,Y,97,10.76391505,1.076391505,10.76391505,0,0,0,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,4,CCLT,405,Y,N,11384.3474,78740.03341,Y,99,5.381957526,0,5.381957526,0,0,0,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,4,CCPT,406,Y,N,14424.99416,74365.58711,Y,93,53.81957526,2.690978763,53.81957526,0,0,0,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,4,NT,407,N,Y,14590.65881,65616.69451,Y,98,53.81957526,0.538195753,53.81957526,0,0,0,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,4,CT,408,N,Y,14978.33189,83114.47971,Y,99,26.90978763,0.005381958,26.90978763,0,0,0,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,4,CT,409,N,N,14019.63738,74365.58711,Y,92,64.58349031,5.381957526,64.58349031,0,0,0,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,4,NT,410,N,N,14782.61892,69991.14081,Y,94,53.81957526,0.005381958,48.43761773,0,0,5.381957526,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,4,CCPT,411,Y,Y,13741.90408,69991.14081,Y,99,26.90978763,0.005381958,26.90978763,0,0,0,0,0,0,0,0,0,0,0
Arlington,Corn,2019,ARL_CN_19,4,CCET,412,Y,N,14232.43053,69991.14081,Y,90,102.257193,16.14587258,102.257193,0,0,0,0,0,0,0,0,0,0,0
Arlington,Corn,2020,ARL_CN_20,1,CT,101,N,N,14471.60548,52493.3556,Y,5,1054.718584,46.07937192,2.499333136,35.82377495,0,1016.395475,0,0,0,0,0,0,0,0
Arlington,Corn,2020,ARL_CN_20,1,CT,102,N,Y,14169.54999,52493.3556,Y,97,3.332444182,0.54152218,0,0,0,3.332444182,0,0,0,0,0,0,0,0
Arlington,Corn,2020,ARL_CN_20,1,NT,103,N,N,11205.1242,56867.8019,Y,8,982.2379226,60.10896193,0,14.16288777,0,968.0750348,0,0,0,0,0,0,0,0
Arlington,Corn,2020,ARL_CN_20,1,NT,104,N,Y,12604.13436,43744.463,Y,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arlington,Corn,2020,ARL_CN_20,1,CCET,105,Y,N,9959.700009,52493.3556,Y,4,339.0761955,55.37689119,7.497999409,8.331110454,0,323.2470856,0,0,0,0,0,0,0,0
Arlington,Corn,2020,ARL_CN_20,1,CCET,106,Y,Y,12634.01003,52493.3556,Y,98,13.32977673,0.099973325,0.833111045,0,0,12.49666568,0,0,0,0,0,0,0,0
