Location,Crop,Year,Site_crop_yr,Rep,EU,Soil,Herb,CC Canopy,CYInjury,Crop Canopy,yield,Stand Count
Havelock,Soybean,2019,HAV_SB_19,1,101,Till,ME25,0,0,11.0525,2855.794948,231845.6539
Havelock,Soybean,2019,HAV_SB_19,1,102,NT+CC,ME50,0,0,6.3625,2891.890304,227471.2076
Havelock,Soybean,2019,HAV_SB_19,1,103,NT,ME50,8.27,0,4.1925,2522.13387,135607.8353
Havelock,Soybean,2019,HAV_SB_19,1,104,Till,CL25,0,1,9.125,2714.631303,301836.7947
Havelock,Soybean,2019,HAV_SB_19,1,105,NT,CTRL,4.976666667,0,6.0425,3291.411747,262466.778
Havelock,Soybean,2019,HAV_SB_19,1,106,NT+CC,CL50,0,0,10.1875,3269.655719,306211.241
Havelock,Soybean,2019,HAV_SB_19,1,107,Till,CTRL,0,0,12.465,3814.07461,306211.241
Havelock,Soybean,2019,HAV_SB_19,1,108,NT+CC,CTRL,6.846666667,0,8.49,3043.212724,293087.9021
Havelock,Soybean,2019,HAV_SB_19,1,109,NT,ME25,0,1,10.045,3691.692757,301836.7947
Havelock,Soybean,2019,HAV_SB_19,1,110,NT,CL25,0,0,10.13,3382.140879,319334.5799
Havelock,Soybean,2019,HAV_SB_19,1,111,Till,ME50,5.696666667,0,12.33,3801.060743,314960.1336
Havelock,Soybean,2019,HAV_SB_19,1,112,NT+CC,CL25,0,2,10.245,3503.157968,319334.5799
Havelock,Soybean,2019,HAV_SB_19,1,113,Till,CL50,0,0,13.6725,3355.260808,314960.1336
Havelock,Soybean,2019,HAV_SB_19,1,114,NT+CC,ME25,0,0,11.06,3357.859657,310585.6873
Havelock,Soybean,2019,HAV_SB_19,1,115,NT,CL50,6.64,0,10.335,3503.51234,306211.241
Havelock,Soybean,2019,HAV_SB_19,2,201,Till,ME50,0,0,11.1175,3268.410675,288713.4558
Havelock,Soybean,2019,HAV_SB_19,2,202,NT+CC,CTRL,0,0,9.3425,2454.27245,253717.8854
Havelock,Soybean,2019,HAV_SB_19,2,203,NT,ME50,7.736666667,0,7.6,3173.043895,253717.8854
Havelock,Soybean,2019,HAV_SB_19,2,204,Till,CL50,0,0,12.0175,2823.746195,284339.0095
Havelock,Soybean,2019,HAV_SB_19,2,205,NT,CL25,8.036666667,0,7.815,3391.904998,271215.6706
Havelock,Soybean,2019,HAV_SB_19,2,206,NT+CC,CL50,0,0,10.3825,3217.894938,258092.3317
